"_id","收费门架编号","门架名称","门架类型","门架种类","门架标志","省界入/出口标识","收费单元编码组合","车道数","纬度","经度","桩号","使用状态","起始日期","终止日期","门架HEX字符串","反向门架HEX字符串"
"ObjectId(""61f35b611642df6c4cd1cf06"")","G000237001000120010","乐陵北-京沪鲁冀门架","省界收费门架","实体门架",0,"省界出口","G000237001000120","3|1",37.840596,117.105801,"K261+700","在用","2100-01-01","2999-12-31","3F5401","3E540B"
"ObjectId(""61f35b621642df6c4cd1cf07"")","G000237001000120020","乐陵北-京沪鲁冀门架","省界收费门架","实体门架",0,"省界出口","G000237001000120","3|1",37.8229,117.102805,"K263+700","在用","2100-01-01","2999-12-31","3F5401","3E540B"
"ObjectId(""61f35b621642df6c4cd1cf08"")","G000237001000220030","乐陵西-乐陵北门架","路段收费门架","实体门架",0,null,"G000237001000220","3|1",37.720278,117.108361,"K275+250","在用","2100-01-01","2999-12-31","3D5403","3C5409"
"ObjectId(""61f35b621642df6c4cd1cf09"")","G000237001000320040","济乐滨德立交-乐陵西门架","路段收费门架","实体门架",0,null,"G000237001000320","3|1",37.687673,117.10137,"K278+900","备用","2100-01-01","2999-12-31","3D5404","3C5408"
"ObjectId(""61f35b621642df6c4cd1cf0a"")","G000237001000420050","乐陵南-济乐滨德立交门架","路段收费门架","实体门架",0,null,"G000237001000420","3|1",37.536557,117.120294,"K295+950","备用","2100-01-01","2999-12-31","3D5405","3C5407"
"ObjectId(""61f35b621642df6c4cd1cf0b"")","G000237001000610010","乐陵南-商河门架","路段收费门架","实体门架",0,null,"G000237001000610|G000237002000410","3|1",37.282058,117.084697,"K324+800","在用","2100-01-01","2999-12-31","3C5406","3D540C"
"ObjectId(""61f35b621642df6c4cd1cf0c"")","G000237001000710060","济乐滨德立交-乐陵南门架","路段收费门架","实体门架",0,null,"G000237001000710","3|1",37.538518,117.120042,"K295+750","备用","2100-01-01","2999-12-31","3C5407","3D5405"
"ObjectId(""61f35b621642df6c4cd1cf0d"")","G000237001000810070","乐陵西-济乐滨德立交门架","路段收费门架","实体门架",0,null,"G000237001000810","3|1",37.688564,117.101207,"K278+850","在用","2100-01-01","2999-12-31","3C5408","3D5404"
"ObjectId(""61f35b621642df6c4cd1cf0e"")","G000237001000910080","乐陵北-乐陵西门架","路段收费门架","实体门架",0,null,"G000237001000910","3|1",37.721003,117.108357,"K275+200","在用","2100-01-01","2999-12-31","3C5409","3D5403"
"ObjectId(""61f35b621642df6c4cd1cf0f"")","G000237001001010090","京沪鲁冀-乐陵北门架","省界收费门架","实体门架",0,"省界入口","G000237001001010","3|1",37.826078,117.103148,"K263+400","在用","2100-01-01","2999-12-31","3E540B","3F5401"
"ObjectId(""61f35b621642df6c4cd1cf10"")","G000237001001010100","京沪鲁冀-乐陵北门架","省界收费门架","实体门架",0,"省界入口","G000237001001010","3|1",37.830347,117.103876,"K262+900","在用","2100-01-01","2999-12-31","3E540B","3F5401"
"ObjectId(""61f35b621642df6c4cd1cf11"")","G000237001001110010","乐陵南-乐陵南虚收费门架","路段收费门架","虚拟门架",null,null,"G000237001001110","2|1",37.5188897135384,117.12894861833,"K295+950","在用","2100-01-01","2999-12-31","3C5703","3D5702"
"ObjectId(""61f35b621642df6c4cd1cf12"")","G000237004003320010","蟠龙虚-蟠龙收费门架","路段收费门架","虚拟门架",null,null,"G000237004003320","2|1",36.6280522193117,117.223675524717,"k413+209","在用","2100-01-01","2999-12-31","3D1523","3C1524"
"ObjectId(""61f35b621642df6c4cd1cf13"")","G000237004003410010","彩石-彩石虚收费门架","路段收费门架","虚拟门架",null,null,"G000237004003410","2|1",36.6156650763777,117.32952297685,"k418+200","在用","2100-01-01","2999-12-31","3C1526","3D1525"
"ObjectId(""61f35b621642df6c4cd1cf14"")","G000237004003420010","彩石虚-彩石收费门架","路段收费门架","虚拟门架",null,null,"G000237004003420","2|1",36.6157839938658,117.329521756837,"k418+200","在用","2100-01-01","2999-12-31","3D1525","3C1526"
"ObjectId(""61f35b621642df6c4cd1cf15"")","G000237004003510010","曹范-曹范虚收费门架","路段收费门架","虚拟门架",null,null,"G000237004003510","2|1",36.635886,117.377523,"k425+846","停用","2100-01-01","2999-12-31","3C1528","3D1527"
"ObjectId(""61f35b621642df6c4cd1cf16"")","G000237004003520010","曹范虚-曹范收费门架","路段收费门架","虚拟门架",null,null,"G000237004003520","2|1",36.635886,117.377523,"k425+846","停用","2100-01-01","2999-12-31","3D1527","3C1528"
"ObjectId(""61f35b621642df6c4cd1cf17"")","G000237004003610010","埠村-埠村虚收费门架","路段收费门架","虚拟门架",null,null,"G000237004003610","2|1",36.6012163756431,117.477122830952,"k421+800","在用","2100-01-01","2999-12-31","3C152A","3D1529"
"ObjectId(""61f35b631642df6c4cd1cf18"")","G000237004003620010","埠村虚-埠村收费门架","路段收费门架","虚拟门架",null,null,"G000237004003620","2|1",36.6013608221432,117.47712768318,"k421+800","在用","2100-01-01","2999-12-31","3D1529","3C152A"
"ObjectId(""61f35b631642df6c4cd1cf19"")","G000237004003710010","雪野-雪野虚收费门架","路段收费门架","虚拟门架",null,null,"G000237004003710","2|1",36.454232958794,117.530718047417,"k430+346","在用","2100-01-01","2999-12-31","3C152B","3D1522"
"ObjectId(""61f35b631642df6c4cd1cf1a"")","G000237004003720010","雪野虚-雪野收费门架","路段收费门架","虚拟门架",null,null,"G000237004003720","2|1",36.4540800163356,117.530989898469,"k430+346","在用","2100-01-01","2999-12-31","3D1522","3C152B"
"ObjectId(""61f35b631642df6c4cd1cf1b"")","G000237001001120010","乐陵南虚-乐陵南收费门架","路段收费门架","虚拟门架",null,null,"G000237001001120","2|1",37.518760367339,117.128931452127,"K295+950","在用","2100-01-01","2999-12-31","3D5702","3C5703"
"ObjectId(""61f35b631642df6c4cd1cf1c"")","G000237001001210010","乐陵西-乐陵西虚收费门架","路段收费门架","虚拟门架",null,null,"G000237001001210","2|1",37.7061942805806,117.108952224198,"K278+850","在用","2100-01-01","2999-12-31","3C5705","3D5704"
"ObjectId(""61f35b631642df6c4cd1cf1d"")","G000237001001220010","乐陵西虚-乐陵西收费门架","路段收费门架","虚拟门架",null,null,"G000237001001220","2|1",37.7060313070217,117.109085261699,"K278+850","在用","2100-01-01","2999-12-31","3D5704","3C5705"
"ObjectId(""61f35b631642df6c4cd1cf1e"")","G000237001001310010","乐陵北-乐陵北虚收费门架","路段收费门架","虚拟门架",null,null,"G000237001001310","2|1",37.8133485476948,117.104096503388,"K275+200","在用","2100-01-01","2999-12-31","3C5701","3D5706"
"ObjectId(""61f35b631642df6c4cd1cf1f"")","G000237001001320010","乐陵北虚-乐陵北收费门架","路段收费门架","虚拟门架",null,null,"G000237001001320","2|1",37.8134027286896,117.103851173723,"K275+200","在用","2100-01-01","2999-12-31","3D5706","3C5701"
"ObjectId(""61f35b631642df6c4cd1cf20"")","G000237002000120020","商河-乐陵南门架","路段收费门架","实体门架",0,null,"G000237002000120|G000237001000520","3|1",37.281275,117.085025,"K324+850","在用","2100-01-01","2999-12-31","3D540C","3C5406"
"ObjectId(""61f35b631642df6c4cd1cf21"")","G000237002000220010","临邑-商河门架","路段收费门架","实体门架",0,null,"G000237003000120|G000237002000220","3|1",37.166624,117.044478,"K338+450","在用","2100-01-01","2999-12-31","3D540D","3C540E"
